Title~Status~Notes~Author~Date~Category~Subject~Bible Books~Pages~Path
The Tree of Life: A Running Commentary on the Inner Meaning of the Word of God~~~Hoeck, Louis, G.~~~~Genesis, Exodus, Numbers, Leviticus, Deuteronomy, Joshua, Judges, 1 Samuel, 2 Samuel, Psalms, Isaiah, Jeremiah, Lamentations, Ezekiel, Daniel, Hosea, Joel, Amos, Obadiah, Jonah, Micah, Nahum, Habakkuk, Zephaniah, Haggai, Zechariah, Malachi, Matthew, Mark, Luke, John, Revelation~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/tree-of-life-hoeck.pdf
The Story of Creation in Genesis~~~Pitcairn, Theodore~~~~Genesis~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/the-story-of-creation-in-genesis-pitcairn.pdf
The First Three Kings of Israel~~~Bruce, Rev., William~~~~1 Samuel, 2 Samuel, 1 Kings, 2 Kings~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/first-three-kings-of-israel-bruce.pdf
Commentary on the Revelation of St. John~~~Bruce, Rev., William~~~~Revelation~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/commentary-on-the-revelation-of-st-john-bruce.pdf
Commentary on Daniel~~~Hinkley, Willard, H.~~~~Daniel~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/book-of-daniel-hinkley.pdf
The Language of Parable~~~Worcester, William, L.~~~~Genesis~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/the-language-of-parable-worcester.pdf
Commentary on the Gospel According to Matthew~~~Bruce, Rev., William~~~~Matthew~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/commentary-on-matthew-bruce.pdf
The Gospel According to Matthew - Translated from the Original Greek, and Illustrated By Extracts from the Theological Writings Of Emanuel Swedenborg~~~Clowes, Rev., John, M.A.~~~Matthew - Rev. John Clowes' Commentary on the Gospel of Matthew~~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/Clowes%20-%20Matthew.pdf
The Gospel According to John, Translated from the Original Greek, and Illustrated By Extracts from the Theological Writings Of Emanuel Swedenborg~~~Clowes, Rev., John, M.A.~~~John - Rev. John Clowes' Commentary on the Gospel of John~~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/Clowes-John.pdf
Commentary on the Gospel According to St. John~~~Bruce, Rev., William~~~~John~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/commentary-on-st-john-bruce(1).pdf
The Sower - Bible Stories and Their Inner Meaning~~~Staff, New Christian Bible Study; Worcester, William, L.~~~Bible Explanations - Many Books~~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/the-sower-worcester.pdf
The Two Books of Kings Explained~~~MacLagan, Henry~~~~1 Kings, 2 Kings~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/the-two-books-of-kings-explained-maclagan.pdf
Dole's Bible Study Notes Volume 1~~~Dole, Anita, S.~~~~Genesis~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/Bible%20Study%20Notes%20Volume%20ONE.pdf
Dole's Bible Study Notes Volume 2~~~Dole, Anita, S.~~~~Exodus, Leviticus, Numbers, Joshua, Judges~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/Bible%20Study%20Notes%20Volume%20TWO.pdf
Dole's Bible Study Notes Volume 3~~~Dole, Anita, S.~~~~1 Samuel, 2 Samuel, 1 Kings, 2 Kings, Psalms~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/Bible%20Study%20Notes%20Volume%20THREE.pdf
Dole's Bible Study Notes Volume 4~~~Dole, Anita, S.~~~~Isaiah, Jeremiah, Ezekiel, Daniel, Joel, Amos, Jonah, Micah, Haggai, Zechariah, Malachi, Matthew~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/Bible%20Study%20Notes%20Volume%20FOUR.pdf
Commentary on Amos by Rev. George McCurdy~~~McCurdy, Rev., George~~~Amos - Commentary  from the book Minor Prophets: Major Messages by Rev. George McCurdy~~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/MPMM_Amos.pdf
Commentary on Habakkuk by Rev. George McCurdy~~~McCurdy, Rev., George~~~Habakkuk - Commentary  from the book Minor Prophets: Major Messages by Rev. George McCurdy~~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/MPMM_Habakkuk.pdf
Commentary on Haggai by Rev. George McCurdy~~~McCurdy, Rev., George~~~Haggai - Commentary from the book Minor Prophets: Major Messages by Rev. George McCurdy~~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/MPMM_Haggai.pdf
Commentary on Joel by Rev. George McCurdy~~~McCurdy, Rev., George~~~Joel - Commentary from the book entitled Minor Prophets: Major Messages by Rev. George McCurdy~~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/MPMM_Joel.pdf
Commentary on Jonah by Rev. George McCurdy~~~McCurdy, Rev., George~~~Jonah - Commentary from the book entitled Minor Prophets: Major Messages by Rev. George McCurdy~~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/MPMM_Jonah.pdf
Commentary on Malachi by Rev. George McCurdy~~~McCurdy, Rev., George~~~Malachi - Commentary from the book entitled Minor Prophets: Major Messages by Rev. George McCurdy~~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/MPMM_Malachi.pdf
Commentary on Micah by Rev. George McCurdy~~~McCurdy, Rev., George~~~Micah - Commentary from the book entitled Minor Prophets: Major Messages by Rev. George McCurdy~~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/MPMM_Micah.pdf
Commentary on Nahum by Rev. George McCurdy~~~McCurdy, Rev., George~~~Nahum - Commentary from the book entitled Minor Prophets: Major Messages by Rev. George McCurdy~~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/MPMM_Nahum.pdf
Commentary on Obadiah by Rev. George McCurdy~~~McCurdy, Rev., George~~~Obadiah - Commentary from the book entitled Minor Prophets: Major Messages by Rev. George McCurdy~~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/MPMM_Obadiah.pdf
The Gospel According to Luke - Translated from the Original Greek, and Illustrated By Extracts from the Theological Writings Of Emanuel Swedenborg~~~Clowes, Rev., John, M.A.~~~Luke - Rev. John Clowes' Commentary on the Gospel of Luke~~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/Clowes-Luke.pdf
The Book of Leviticus Interpreted and Explained according to its Spiritual or Internal Sense~~~MacLagan, Henry~~~Leviticus - Commentary~~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/MacLagan-Leviticus.pdf
The Book of Numbers Interpreted and Explained according to its Spiritual or Internal Sense~~~MacLagan, Henry~~~Numbers - Commentary~~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/MacLagan-Numbers.pdf
The Apocalypse - Doorway to the Soul =E2=80=93  24 Study Cards~~~of the General Conference, Apocalypse Study Group~~~This document is an adaptation of a set of study cards that were developed as a companion guide for readers of the Book of Revelation.~~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/AJCS%20Hdbk2%2024%20Majors%20-NCBS.pdf
The Apocalypse - Doorway to the Soul =E2=80=93 40 Stories to Use in Your Life~~~of the General Conference, Apocalypse Study Group~~~Some New Church ministers in the UK formed an ad hoc Apocalypse Study Group, to see what insights for living could be gained from a fresh, careful study of the Book of Revelation. This useful document/handbook is one result of that study.~~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/NCBS%20Minor%20Images%2019.7.22.pdf
Quick Start Guide~~~Odhner, Rev., John; Staff, New Christian Bible Study~~~Getting started tips for using the New Christian Bible Study website~~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/Quick-Start-Guide.pdf
Book of Judges: Sermons in Explanation of the Singular Histories~~~Noble, Samuel~~~Judges - This is a series of sermons on the first 11 chapters of Joshua, by Rev. Samuel F. Noble, a British New Church clergyman.~~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/book_of_judges_by_samuel_noble.pdf
Notes on the Psalms~~~Hiller, Rev., O., Prescott~~~Psalms~~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/Hiller-Notes%20on%20the%20Psalms.pdf
The Prophet Isaiah~~~Smithson, Rev., John, H.~~~Isaiah - A Commentary~~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/Smithson%20Commentary%20on%20Isaiah.pdf
A Study of Deuteronomy~~~Payne, Alexander~~~Deuteronomy - A Study of the Internal or Spiritual Sense of the Fifth Book of Moses~~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/Deuteronomy-Payne.pdf
The Gospel According to Mark - Translated from the Original Greek, and Illustrated By Extracts from the Theological Writings Of Emanuel Swedenborg~~~Clowes, Rev., John, M.A.~~~Mark - Rev. John Clowes' Commentary on the Gospel of Mark~~~https://newchristianbiblestudy.org/bundles/ncbsw/translation/Clowes-Exegesis-of-Mark-modified2.pdf
