Title~Status~Notes~Author~Date~Category~Subject~Bible Books~Pages~Path
From Egypt to Canaan~pdf-341p~60 chapter tales; couldn’t find it referenced~Bayley, John~1869~Bible Explanation~~Exodus, Leviticus, Numbers, Deuteronomy, Joshua~481~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/From-Egypt-to-Canaan.pdf
Saul, David and Solomon~html-paginated~should be PDF as book; does have many Writings references of course; I have the book; it’s good~Odhner, Hugo Lj.~1967~Bible Explanation~~1 Samuel, 2 Samuel, 1 Kings~114~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Saul,%20David,%20Solomon%20Odhner.html
Essays on the Lord's Prayer~html-paginated~could use a boost~Odhner, Hugo Lj.~1972~Bible Explanation~~Matthew, Luke~11~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Lords%20Prayer%20Odhner.html
Divine Allegory~html-paginated~~Odhner, Hugo Lj.~1954~Bible Explanation~~~150~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Divine%20Allegory%20-%20Odhner.html
Scripture Paradoxes - Their True Explanation~html-paginated~~Bayley, John~1868~~~~155~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Scripture%20Paradoxes%20-%20Bayley.html
Ten Commandments~html-paginated~~Cranch, Harold~1972~Bible Explanation (Sermons)~Ten Commandments~Exodus, Deuteronomy~53~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Ten%20Commandments%20-%20Cranch.html
Sermons on the Ten Commandments Volume 1~html-paginated~could be isolated as sermons~Acton, Alfred~1914-1918~Bible Explanation (Sermons)~Ten Commandments~Exodus, Deuteronomy~18~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Ten%20Comanndments%20Sermons%20I%20-%20Acton.html
Sermons on the Ten Commandments Volume 2~html-paginated~~Acton, Alfred~1914-1918~Bible Explanation (Sermons)~Ten Commandments~Exodus, Deuteronomy~123~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Ten%20Commandments%20Sermons%20II%20-%20Acton.html
Call and Deliverance of the Children of Israel~~~Clowes, John~1850~Bible Explanation (Sermons)~~~354~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Sermons%20Call%20and%20Deliverance%20-%20Clowes.html
Sermons on the Word~~~Hyatt, Edward~1935~Bible Explanation (Sermons)~~~42~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Sermons%20on%20the%20Word%20-%20Hyatt.html
Sermons - Expository and Practical~~~Bruce, William~1867~Bible Explanation (Sermons)~~~319~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Sermons%20-%20Expository%20and%20Practical%20-%20Bruce.html
Divine Word Opened~~~Bayley, John~1888~Bible Explanation (Sermons)~~~660~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Divine%20Word%20Opened%20-%20Bayley.html
Magnificent Scenes~~~Bayley, John~1878~Bible Explanation (Sermons)~~Revelation~169~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Magnificent%20Scenes%20-%20Bayley.html
Our New Church Vocabulary~~~Henderson, W. Cairns~1966~Index~~~40~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Our%20New%20Church%20Vocabulary.pdf
Index to Swedenborg's Arcana Coelestia~~~Rich, Elihu~1853~Index~~~2683~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Arcana%20Coelestia%20Index%20-%20Rich.html
New Church and Modern Christianity~~~DeCharms, George~1963~Application~~~136~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/NC%20and%20Modern%20Christianity%20-%20Decharms.html
Principles of Government~~~DeCharms, George~1960~Application~~~75~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Principles%20of%20Government%20-%20Decharms.html
Application of Doctrine~~~DeCharms, George~1953~Application~~~5~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Application%20of%20Doctrine%20-%20Decharms.html
Health and the Human Mind~~~Heinrichs, Willard~1988~Application~~~182~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Health%20and%20Human%20Mind%20-%20Heinrichs.html
